Ano,Trimestre,Chuva,Tmax,Tmin,Tmean
1983.0,4.0,281.8,37.2,9.4,21.811954022988505
1984.0,1.0,349.5,37.9,14.4,25.441825396825397
1984.0,2.0,852.8,31.6,3.0,17.218045977011492
1984.0,3.0,286.3,30.2,2.2,14.522835249042146
1984.0,4.0,180.0,36.0,9.2,20.578659003831415
1988.0,1.0,172.0,37.9,13.0,24.857936507936504
1988.0,2.0,288.9,31.4,1.4,14.871349206349208
1988.0,3.0,305.0,33.5,1.8,14.611532567049807
1988.0,4.0,249.79999999999998,35.6,7.1,21.05563218390805
1989.0,1.0,327.59999999999997,36.1,12.8,24.26111111111111
1989.0,2.0,292.6,34.5,4.1,17.28122605363985
1989.0,3.0,322.29999999999995,30.8,3.5,14.611187739463602
1989.0,4.0,218.10000000000002,35.2,7.1,21.202758620689654
1990.0,1.0,301.0,38.1,9.6,24.218376068376063
1990.0,2.0,341.3,31.8,3.1,16.321800766283527
1990.0,3.0,301.3,30.5,1.1,14.425670498084294
1990.0,4.0,617.6,38.6,10.5,22.010574712643674
1991.0,1.0,198.6,37.8,12.9,23.89901234567901
1991.0,2.0,346.59999999999997,33.7,4.3,18.417739463601535
1991.0,3.0,320.0,32.6,0.6,16.096130268199232
1991.0,4.0,267.6,38.2,8.4,22.12900383141762
1992.0,1.0,446.69999999999993,37.2,14.4,24.84901234567901
1992.0,2.0,363.0,32.9,4.2,17.888122605363986
1992.0,3.0,453.2,30.8,1.8,14.219310344827585
1992.0,4.0,211.7,38.4,5.8,21.094214559386973
1993.0,1.0,302.8,37.2,14.2,23.801555555555552
1993.0,2.0,276.5,33.8,1.4,17.55383141762452
1993.0,3.0,280.2,31.0,-0.2,14.3632183908046
1993.0,4.0,499.2,36.5,9.0,21.92091954022989
1994.0,1.0,461.5,35.0,12.6,23.35737105806071
1994.0,2.0,365.0,33.6,2.0,17.52052545155993
1994.0,3.0,336.59999999999997,38.0,0.4,16.167088122605364
1994.0,4.0,402.20000000000005,39.5,9.0,21.906091954022987
1995.0,1.0,230.4,36.2,13.0,23.864444444444445
1995.0,2.0,331.3,34.6,3.2,16.737049808429116
1995.0,3.0,550.9,33.3,0.3,16.16808429118774
1995.0,4.0,280.8,39.0,8.4,21.711647509578544
1996.0,1.0,335.0,36.6,12.7,23.875555555555554
1996.0,2.0,232.60000000000002,35.2,2.8,16.914099616858238
1996.0,3.0,295.2,33.6,1.6,14.190574712643679
1996.0,4.0,391.4,36.1,10.9,22.055977011494253
1997.0,1.0,237.2,37.2,11.6,24.221604938271607
1997.0,2.0,298.79999999999995,32.8,1.6,17.163563218390802
1997.0,3.0,339.9,33.3,3.2,16.316743295019155
1997.0,4.0,580.0,36.0,11.8,21.58252873563218
1998.0,1.0,397.29999999999995,37.6,11.6,23.369868028948492
1998.0,2.0,289.59999999999997,29.3,4.8,16.8032183908046
1998.0,3.0,520.7,29.0,6.2,15.905249042145593
1998.0,4.0,226.4,34.8,10.0,21.198697318007664
1999.0,1.0,233.0,36.7,14.4,24.50901234567901
1999.0,2.0,425.0,32.5,4.4,16.288199233716472
1999.0,3.0,336.19999999999993,34.0,4.0,15.437701149425287
1999.0,4.0,282.3,38.4,6.4,20.516858237547893
