28 -> Machine Learning: Decision Trees || Interpolation: Inverse Distance Weighted || Meta Learning: Support Vector |Tests: 1| --> Abs Error: 0.06677523144712141 | Rel Error: 0.12499248262419976 | Error(%): 6.677523144712142 | R2: -0.07674822777228418
29 -> Machine Learning: Decision Trees || Interpolation: Regional Weight || Meta Learning: Decision Trees |Tests: 1| --> Abs Error: 0.09095204934341447 | Rel Error: 0.16978084629754706 | Error(%): 9.095204934341448 | R2: -1.0401030791232895
30 -> Machine Learning: Decision Trees || Interpolation: Regional Weight || Meta Learning: Neural network |Tests: 1| --> Abs Error: 0.06535601457155862 | Rel Error: 0.12719184378865006 | Error(%): 6.535601457155862 | R2: -0.037779885722482476
31 -> Machine Learning: Decision Trees || Interpolation: Regional Weight || Meta Learning: Nearest Neighbors |Tests: 1| --> Abs Error: 0.06459429169157208 | Rel Error: 0.12355272527210656 | Error(%): 6.459429169157207 | R2: -0.03020718770731201
32 -> Machine Learning: Decision Trees || Interpolation: Regional Weight || Meta Learning: Support Vector |Tests: 1| --> Abs Error: 0.06943854343586688 | Rel Error: 0.12903256574541397 | Error(%): 6.943854343586688 | R2: -0.12119282014518884
33 -> Machine Learning: Decision Trees || Interpolation: Optimized Normal Ratio || Meta Learning: Decision Trees |Tests: 1| --> Abs Error: 0.08182904961147645 | Rel Error: 0.15600059598501398 | Error(%): 8.182904961147646 | R2: -0.7662775656477341
34 -> Machine Learning: Decision Trees || Interpolation: Optimized Normal Ratio || Meta Learning: Neural network |Tests: 1| --> Abs Error: 0.06597714721561698 | Rel Error: 0.13015079981273756 | Error(%): 6.597714721561698 | R2: -0.07386948395410808
35 -> Machine Learning: Decision Trees || Interpolation: Optimized Normal Ratio || Meta Learning: Nearest Neighbors |Tests: 1| --> Abs Error: 0.06549406424581009 | Rel Error: 0.12526014596698007 | Error(%): 6.549406424581009 | R2: -0.09364594225345946
36 -> Machine Learning: Decision Trees || Interpolation: Optimized Normal Ratio || Meta Learning: Support Vector |Tests: 1| --> Abs Error: 0.0683618849267855 | Rel Error: 0.12769671724477885 | Error(%): 6.8361884926785494 | R2: -0.12096397771095124
37 -> Machine Learning: Neural network || Interpolation: None || Meta Learning: Decision Trees |Tests: 1| --> Abs Error: 0.08621253746253758 | Rel Error: 0.16364979117519607 | Error(%): 8.621253746253759 | R2: -0.8984494633044222
