Model;Machine Learning;Interpolation;Meta Learning;Absolute Error;Relative Error;Error(%);R2;
54;Neural network;Optimized Normal Ratio;Neural network;0,07145329768595478;0,14605990012686784;7,145329768595478;-0,2749399006230244;
55;Neural network;Optimized Normal Ratio;Nearest Neighbors;0,06470263317191294;0,12245565984690641;6,470263317191294;-0,02845610209696714;
56;Neural network;Optimized Normal Ratio;Support Vector;0,0716575593631185;0,1321075006020515;7,16575593631185;-0,18461220782286358;
57;Nearest Neighbors;None;Decision Trees;0,08208476459890898;0,15564861170994748;8,208476459890898;-0,6308244111446841;
58;Nearest Neighbors;None;Neural network;0,06379467304821383;0,1270910465235672;6,379467304821383;-0,0005113304721020562;
59;Nearest Neighbors;None;Nearest Neighbors;0,06678065560501835;0,12639724342607928;6,678065560501835;-0,06991320142812985;
60;Nearest Neighbors;None;Support Vector;0,06936910328689462;0,12750978015020714;6,9369103286894624;-0,1224783723934697;
61;Nearest Neighbors;Arithmetic Average;Decision Trees;0,0856534954407295;0,16290400820136786;8,56534954407295;-0,8449236386743055;
62;Nearest Neighbors;Arithmetic Average;Neural network;0,06642061568490973;0,13180425581573185;6,6420615684909725;-0,07027305873067524;
63;Nearest Neighbors;Arithmetic Average;Nearest Neighbors;0,0676512158054712;0,1285089043392156;6,76512158054712;-0,08334818167139413;
64;Nearest Neighbors;Arithmetic Average;Support Vector;0,06788535400801338;0,12663814756933098;6,788535400801337;-0,07892712275546576;
65;Nearest Neighbors;Inverse Distance Weighted;Decision Trees;0,08037616680194824;0,1519806708981951;8,037616680194825;-0,6520550906669293;
66;Nearest Neighbors;Inverse Distance Weighted;Neural network;0,06276086001594233;0,12253558510169939;6,2760860015942335;0,045672542346997025;
67;Nearest Neighbors;Inverse Distance Weighted;Nearest Neighbors;0,0681439239991872;0,12941631261431685;6,81439239991872;-0,12318325142125586;
68;Nearest Neighbors;Inverse Distance Weighted;Support Vector;0,06785379514184815;0,12712843296529688;6,785379514184815;-0,10104037828017942;
69;Nearest Neighbors;Regional Weight;Decision Trees;0,08785866910866923;0,1652744887518711;8,785866910866922;-0,9013054443638338;
70;Nearest Neighbors;Regional Weight;Neural network;0,06491633703789876;0,12555592647639738;6,4916337037898755;-0,008712710518751443;
71;Nearest Neighbors;Regional Weight;Nearest Neighbors;0,067750662319136;0,12918895001846964;6,7750662319136;-0,12260417034253512;
72;Nearest Neighbors;Regional Weight;Support Vector;0,06792165732955831;0,12728566385052326;6,792165732955831;-0,08975783282591077;
73;Nearest Neighbors;Optimized Normal Ratio;Decision Trees;0,08683768086407184;0,16422018595461924;8,683768086407184;-0,834911103167677;
74;Nearest Neighbors;Optimized Normal Ratio;Neural network;0,06703485560183572;0,13208891736404288;6,703485560183572;-0,08833803281261288;
75;Nearest Neighbors;Optimized Normal Ratio;Nearest Neighbors;0,06837780612244897;0,13044587877003594;6,837780612244897;-0,1406281342548963;
76;Nearest Neighbors;Optimized Normal Ratio;Support Vector;0,07213591211050321;0,13482560305611932;7,213591211050321;-0,2219627568075766;
77;Support Vector;None;Decision Trees;0,08875306560392407;0,1698521902424195;8,875306560392406;-0,9117651529158695;
78;Support Vector;None;Neural network;0,0636134345169847;0,1262893843760863;6,36134345169847;0,012946543009514588;
79;Support Vector;None;Nearest Neighbors;0,07142729226361041;0,13614099445113706;7,142729226361041;-0,24010930699820898;
80;Support Vector;None;Support Vector;0,06808162105038028;0,12836290097296235;6,808162105038027;-0,12118003150577383;
81;Support Vector;Arithmetic Average;Decision Trees;0,08453064152490267;0,16090524863476738;8,453064152490267;-0,7792247320401833;
82;Support Vector;Arithmetic Average;Neural network;0,07364596095274438;0,1470293767667106;7,364596095274438;-0,29909026378597403;
83;Support Vector;Arithmetic Average;Nearest Neighbors;0,07159740725558526;0,1362976610092355;7,159740725558526;-0,24282867998836855;
84;Support Vector;Arithmetic Average;Support Vector;0,0698157695600943;0,13146604119765445;6,98157695600943;-0,16656067176823086;
85;Support Vector;Inverse Distance Weighted;Decision Trees;0,08707281403940884;0,16402811029454167;8,707281403940884;-0,8568363398010519;
86;Support Vector;Inverse Distance Weighted;Neural network;0,06305970036063928;0,12052143590761184;6,305970036063928;0,029996411062086947;
87;Support Vector;Inverse Distance Weighted;Nearest Neighbors;0,07002440904419327;0,13523959184587567;7,002440904419327;-0,21779053687235672;
88;Support Vector;Inverse Distance Weighted;Support Vector;0,07104766484721546;0,13400177179442316;7,104766484721546;-0,21585774281232828;
89;Support Vector;Regional Weight;Decision Trees;0,09158861671469741;0,17297664779748964;9,15886167146974;-1,0066329201670965;
90;Support Vector;Regional Weight;Neural network;0,06656588015984984;0,1311571681742297;6,656588015984983;-0,06761422513038395;
91;Support Vector;Regional Weight;Nearest Neighbors;0,07098948670377243;0,13640993258360462;7,0989486703772435;-0,23784314303190723;
92;Support Vector;Regional Weight;Support Vector;0,06870750332872164;0,13078335350295126;6,870750332872164;-0,17960862058179683;
93;Support Vector;Optimized Normal Ratio;Decision Trees;0,0915429808286952;0,1735239619516879;9,15429808286952;-1,0534770766724368;
94;Support Vector;Optimized Normal Ratio;Neural network;0,06680909852890235;0,13236451326889248;6,680909852890235;-0,08936295595899835;
95;Support Vector;Optimized Normal Ratio;Nearest Neighbors;0,07260786540049546;0,13899533789393131;7,260786540049546;-0,28023094412031146;
96;Support Vector;Optimized Normal Ratio;Support Vector;0,07071935906336058;0,13278270869948894;7,071935906336058;-0,20854165852605755;
